Rank,Code,Company,Price,1 Day,1 Month,1 Year,Sector,Mkt Cap,MktCapB,HeadOffice,HeadOfficeCity,HeadOfficeState
147,RSG,Resolute Mining Ltd,1.245,-0.0119,-0.1201,1.1466,Materials,$2.66B,2.66,"Resolute Mining Ltd, Perth",Perth,WA
148,GNE,Genesis Energy Ltd,2.02,0.01,0.0919,-0.0036,Utilities,$2.64B,2.64,"Genesis Energy Ltd, Auckland",Auckland,Outside Australia
149,DBI,Dalrymple Bay Infrastructure Ltd,5.33,0.0152,0.039,0.3,Industrials,$2.64B,2.64,"Dalrymple Bay Infrastructure Ltd, Brisbane",Brisbane,QLD
150,MSB,Mesoblast Ltd,2.04,0,-0.0933,0.1724,Health Care,$2.64B,2.64,"Mesoblast Ltd, Melbourne",Melbourne,VIC
151,HDN,Homeco Daily Needs REIT,1.255,0.0245,0.0329,-0.004,Real Estate,$2.62B,2.62,"Homeco Daily Needs REIT, Sydney",Sydney,NSW
152,RGN,Region Group,2.28,0.0133,0,-0.0215,Real Estate,$2.62B,2.62,"Region Group, Sydney",Sydney,NSW
153,BPT,Beach Energy Ltd,1.145,0.0088,-0.0458,-0.126,Energy,$2.61B,2.61,"Beach Energy Ltd, Adelaide",Adelaide,SA
154,SUL,Super Retail Group Ltd,11.18,0.0219,-0.1049,-0.1986,Consumer Discretionary,$2.52B,2.52,"Super Retail Group Ltd, Brisbane",Brisbane,QLD
155,CLW,Charter Hall Long Wale REIT,3.51,0.0233,0.0086,-0.1181,Real Estate,$2.52B,2.52,"Charter Hall Long Wale REIT, Sydney",Sydney,NSW
156,CSC,Capstone Copper Corp,13.11,0.0061,0.0077,0.7885,Materials,$2.42B,2.42,"Capstone Copper Corp, Vancouver",Vancouver,Outside Australia
157,AUI,Australian United Investment Company Ltd,10.9,0.0187,-0.0018,0.0158,Financials,$2.38B,2.38,"Australian United Investment Company Ltd, Melbourne",Melbourne,VIC
158,MXT,Metrics Master Income Trust,1.93,0.0078,-0.0077,-0.0631,Financials,$2.36B,2.36,"Metrics Master Income Trust, Sydney",Sydney,NSW
159,CTD,Corporate Travel Management Ltd,16.07,0,0,0.2486,Consumer Discretionary,$2.35B,2.35,"Corporate Travel Management Ltd, Brisbane",Brisbane,QLD
160,RWC,Reliance Worldwide Corporation Ltd,3.14,0.0329,0.0572,-0.3068,Industrials,$2.35B,2.35,"Reliance Worldwide Corporation Ltd, Atlanta",Atlanta,Outside Australia
161,DRR,Deterra Royalties Ltd,4.43,0,0.0624,0.1973,Materials,$2.35B,2.35,"Deterra Royalties Ltd, Perth",Perth,WA
162,LOV,Lovisa Holdings Ltd,21.18,-0.0014,-0.1105,-0.2623,Consumer Discretionary,$2.35B,2.35,"Lovisa Holdings Ltd, Melbourne",Melbourne,VIC
163,BGL,Bellevue Gold Ltd,1.54,0.0199,-0.0968,0.75,Materials,$2.3B,2.3,"Bellevue Gold Ltd, Perth",Perth,WA
164,SMR,Stanmore Resources Ltd,2.5,0.0593,0.073,0.2987,Materials,$2.25B,2.25,"Stanmore Resources Ltd, Brisbane",Brisbane,QLD
165,MP1,Megaport Ltd,12.6,-0.021,0.4841,0.0178,Information Technology,$2.24B,2.24,"Megaport Ltd, Brisbane",Brisbane,QLD
166,CQR,Charter Hall Retail REIT,3.84,0.0213,0.0105,-0.0052,Real Estate,$2.23B,2.23,"Charter Hall Retail REIT, Sydney",Sydney,NSW
167,ELV,Elevra Lithium Ltd,11.41,-0.0113,0.0992,3.7542,Materials,$2.2B,2.2,"Elevra Lithium Ltd, Perth",Perth,WA
